title,lot_number,price,high_bidder,item_number,page,percent_of_price,artist
"2nd CHANCE! - FRANKENSTEIN signed #3/250 18x24 art print 2018 by artist Jessica Seamans, Mondo, regular ed.!",6x2169,145,creeper,5886344,54,0.02,Jessica Seamans
"2nd CHANCE! - FRANKENSTEIN #3/225 18x24 art print 2018 Mondo, Phantom City Creative, regular edition!",6x2170,93,trubbaman,5886345,54,0.01,Phantom City Creative
"2nd CHANCE! - DUMBO #3/395 24x36 art print 2011 Mondo, Disney art by Tom Whalen, regular edition!",6x2151,185,Ma705397,5886326,54,0.03,Tom Whalen
"2nd CHANCE! - FRANKENSTEIN signed #320/325 15x36 art print 2011 by Drew Struzan, first edition, Ken Taylor!",6x2171,1200,keprohi24,5886346,54,0.16,"['Drew Struzan', 'Ken Taylor']"
"2nd CHANCE! - GAME OF THRONES #3/380 17x32 art print 2012 Mondo, Danger, White Walker, regular edition!",6x2173,78,He688791,5886348,54,0.01,Daniel Danger
"2nd CHANCE! - GODFATHER #7/250 24x36 art print 2019 Mondo, art by Eric Powell!",6x2174,320,falbertoh,5886349,54,0.04,Eric Powell
"2nd CHANCE! - ALIEN 2-sided 18x24 art print 2017 Mondo, Tyler Stout, Uncut Handbill, regular edition!",6x2070,155,Ca702062,5886245,54,0.02,Tyler Stout
"2nd CHANCE! - DUMBO #3/280 18x24 art print 2017 Mondo, character in flight by Dan McCarthy, regular edition!",6x2152,175,Ta707918,5886327,54,0.02,Dan McCarthy
"2nd CHANCE! - GODZILLA #60/125 24x36 art print 2015 Mondo, art by Tom Whalen, variant edition!",6x2177,155,raddydaddy1,5886352,54,0.02,Tom Whalen
"2nd CHANCE! - GODZILLA #24/250 24x36 art print 2015 Mondo, art by Tom Whalen, variant edition!",6x2176,155,raddydaddy1,5886351,54,0.02,Tom Whalen
"2nd CHANCE! - GRAND BUDAPEST HOTEL #12/275 24x36 art print 2014 Mondo, art by Vania Zouravliov!",6x2180,255,Mc702960,5886355,54,0.03,Vania Zouravliov
"2nd CHANCE! - GREMLINS #3/210 24x36 art print 2013 Mondo, art by Drew Millward, first edition!",6x2181,160,Ev703110,5886356,54,0.02,Drew Millward
"WHAT'S OPERA DOC #3/90 18x24 art print 2012 Mondo, art by Tom Whalen, variant edition!",6x1993,437,We705310,5886162,54,0.06,Tom Whalen
"2nd CHANCE! - GUARDIANS OF THE GALAXY #25/200 24x36 art print 2017 Mondo, art by Taylor. variant edition!",6x2183,470,cu1990nc,5886358,54,0.06,Matt Taylor
"VERTIGO #3/240 24x36 art print 2013 Mondo, art by Gary Pullin, first edition!",6x1956,935,stalkr,5886125,54,0.13,Gary Pullin
"2nd CHANCE! - GUARDIANS OF THE GALAXY VOL. 2 #4/275 24x36 print 2018 Mondo, art by 100% Soft!",6x2185,150,Br699138,5886360,54,0.02,100% Soft (Truck Torrence)
"2nd CHANCE! - HATEFUL EIGHT #16/20 artist's proof 18x24 art print 2016 Mondo, art by Phantom City Creative!",6x2187,310,My706429,5886362,54,0.04,Phantom City Creative
"2nd CHANCE! - HEREDITARY #3/200 24x36 art print 2018 Mondo, art by Greg Ruth!",6x2188,170,Lo707884,5886363,54,0.02,Randy Ortiz
"2nd CHANCE! - HOME ALONE #12/325 24x36 art print 2013 Mondo, art by Adam Simpson!",6x2189,505,JonOrDie,5886364,54,0.07,Adam Simpson
"2nd CHANCE! - HOST #8/100 24x36 art print 2019 Mondo, art by George Bletsis, US variant edition!",6x2190,135,TimeSink,5886365,54,0.02,George Bletsis
"2nd CHANCE! - FRANKENSTEIN #229/350 24x36 art print 2018 Mondo, Phantom City Creative, regular edition!",6x2168,370,cu1990nc,5886343,54,0.05,Francesco Francavilla
"2nd CHANCE! - HOWL'S MOVING CASTLE #3/430 20x36 art print 2013 Mondo, art by Olly Moss, first edition!",6x2191,650,Ro707471,5886366,54,0.09,Olly Moss
"2nd CHANCE! - IDIOCRACY #115/115 18x24 art print 2019 Mondo, completely wacky art by Leslie Herman!",6x2192,195,Ma704209,5886367,54,0.03,Leslie Herman
"2nd CHANCE! - INNER WORKINGS signed #22/175 16x24 art print 2017 by Benson Shum, Mondo!",6x2193,69,Ko707474,5886368,54,0.01,Benson Shum
"VAULT OF HORROR #15/150 24x36 art print 2013 Mondo, art by Phantom City Creative, 1st edition!",6x1950,69,Ro706698,5886119,49,0.01,Phantom City Creative
"THOR: THE DARK WORLD #3/175 24x36 art print 2013 Mondo, art by Ken Taylor, variant edition!",6x1895,110,saritro,5886064,49,0.02,Ken Taylor
"VAULT OF HORROR #2/30 24x36 art print 2013 Mondo, blackline variant edition!",6x1951,48,delic69,5886120,49,0.01,Phantom City Creative
"VAULT OF HORROR #3/200 18x24 art print 2013 Mondo, Florian Bertmer, regular edition!",6x1952,190,ko312707,5886121,49,0.03,Florian Bertmer
"SHINING #2/325 24x36 art print 2018 Mondo, art by Laurent Durieux, regular edition!",6x1663,2100,Ca708132,5885832,49,0.29,Laurent Durieux
"VENOM #2/325 24x36 art print 2013 Mondo, art by Randy Ortiz, first edition!",6x1955,175,Sm702174,5886124,49,0.02,Randy Ortiz
"VERTIGO #2/240 24x36 art print 2013 Mondo, art by Gary Pullin, first edition!",6x1957,242,djmdallas72,5886126,49,0.03,Gary Pullin
"TRON #8/390 24x36 art print 2012 Mondo, art by Martin Ansin, Mondo edition!",6x1923,586,Re707741,5886092,49,0.08,Martin Ansin
"THIS ISLAND EARTH #2/325 24x36 art print 2013 Mondo, art by Francesco Francavilla!",6x1884,318,Movieikon,5886053,49,0.04,Francesco Francavilla
"TERROR OF GODZILLA #3/250 24x36 art print 2020 Mondo, art by Tom Whalen, regular edition!",6x1851,145,De702973,5886020,49,0.02,Tom Whalen
"VERTIGO #2/225 18x24 art print 2018 Mondo, Alfred Hitchcock, wild chair by Stephan Schmitz!",6x1962,170,Pu702433,5886131,49,0.02,Stephan Schmitz
"VERTIGO #2/225 18x24 art print 2018 Mondo, Alfred Hitchcock, wild stairs by Stephan Schmitz!",6x1963,155,Ha277951,5886132,49,0.02,Stephan Schmitz
"VIGILANTE #79/100 18x24 art print 2011 art of Robert Forster by Alan Hynes, Mondo, Alamo!",6x1965,48,delic69,5886134,49,0.01,Alan Hynes
"VISITOR #2/100 18x24 art print 2013 Mondo, wild different art by Jaw Shaw!",6x1966,101,Mc701485,5886135,49,0.01,Jaw Shaw
"VIY OR SPIRIT OF EVIL signed #73/90 18x24 art print 2017 Mondo, Jessica Seamans, regular ed.!",6x1967,102,Bu701253,5886136,49,0.01,Jessica Seamans
"WAKING LIFE #94/100 18x24 art print 2016 Mondo, wild different art by Jaw Shaw!",6x1968,105,ChadSizzle,5886137,49,0.01,Jay Shaw
"WALL-E #268/350 24x36 art print 2014 Mondo, art by Kevin Tong!",6x1969,200,Go701873,5886138,49,0.03,Kevin Tong
"WALL-E #26/185 24x36 art print 2016 Mondo, art by Tom Whalen, variant edition!",6x1971,310,Ke704317,5886140,49,0.04,Tom Whalen
"WAR FOR THE PLANET OF THE APES #2/225 18x24 art print 2017 Mondo, Caesar by Eric Powell!",6x1972,78,Pe699080,5886141,49,0.01,Eric Powell
"WAR OF THE REALMS #2/275 24x36 art print 2019 Mondo, art by Matt Taylor!",6x1973,115,GokidTwitch,5886142,49,0.02,Matt Taylor
"WAR OF THE WORLDS #2/120 24x36 art print 2012 Mondo, glow-in -the-dark art by Kako!",6x1974,205,Fu700152,5886143,49,0.03,Kako
"UNHOLY THREE signed #43/185 24x36 art print 2012 by Jeff Kleinsmith, Mondo, Alamo Drafthouse!",6x1941,52,delic69,5886110,49,0.01,Jeff Kleinsmith
"WARRIORS #14/200 12x36 art print 2009 by Ken Taylor, Sully, Alamo!",6x1977,200,Ro700022,5886146,49,0.03,Ken Taylor
"WARRIORS #283/300 24x36 art print 2009 Mondo, art by Eric Tan, Alamo Drafthouse!",6x1978,310,Sk704354,5886147,49,0.04,Eric Tan
"WARRIORS #138/200 24x36 art print 2009 Mondo, art by Tyler Stout, regular uncut edition!",6x1979,410,Sp705239,5886148,49,0.06,Tyler Stout
"VERTIGO signed #9/375 24x36 art print 2014 by Laurent Durieux, Mondo, first edition!",6x1958,725,templarknight,5886127,49,0.1,Laurent Durieux
"WARRIORS #449/450 16x24 art print 2009 Mondo, Tyler Stout art with roller coaster!",6x1980,169,St708147,5886149,49,0.02,Tyler Stout
"TRUE GRIT signed #100/110 16x39 art print 2010 by Aaron Horkey, Mondo, variant edition!",6x1932,335,Brick1266,5886101,49,0.05,Aaron Horkey
"TRON LEGACY #1/300 24x36 art print 2017 Mondo, art by Craig Drake!",6x1927,165,canuck,5886096,49,0.02,Craig Drake
"TOWN #2/390 24x36 art print 2013 Mondo, art by Daniel Danger, regular edition!",6x1908,150,billyd13,5886077,49,0.02,Daniel Danger
"VENOM #2/150 24x36 art print 2018 Mondo, Matt Ryan Tobin art, variant edition!",6x1954,214,Sm702174,5886123,49,0.03,Matt Ryan Tobin
"WARRIORS #322/450 16x24 art print 2009 Mondo, Tyler Stout, regular cut edition, ferris wheel",6x1981,174,Fi707322,5886150,49,0.02,Tyler Stout
"WARRIORS #174/180 24x36 art print 2010 Mondo, art by Tomer Hanuka, first edition!",6x1982,850,Wh701334,5886151,49,0.12,Tomer Hanuka
"WARRIORS #2/275 18x24 art print 2018 Mondo, close art by Jason Edmiston, first edition!",6x1984,255,We701452,5886153,49,0.03,Jason Edmiston
"WE BUY YOUR KIDS #23/75 18x24 art print 2014 Mondo, Harsh Majical, We Buy Your Kids art!",6x1988,100,Ma699341,5886157,49,0.01,We Buy Your Kids
"WEIRD SCIENCE #2/225 17x24 art print 2013 Mondo, art by Paolo Rivera!",6x1989,125,Ca699855,5886158,49,0.02,Paolo Rivera
"WEREWOLVES ON WHEELS #138/235 24x36 art print 2011 Mondo, Justin Erickson, regular edition!",6x1990,73,Du707709,5886159,49,0.01,Justin Erickson
"TWIN PEAKS #2/175 24x36 art print 2019 Mondo, art by Greg Ruth, variant edition!",6x1935,310,Ta706896,5886104,49,0.04,Greg Ruth
"WEREWOLVES ON WHEELS #4/65 24x36 art print 2011 Mondo, Justin Erickson, variant edition!",6x1991,93,Du707709,5886160,49,0.01,Justin Erickson
"SWORD IN THE STONE #2/350 24x36 art print 2017 Mondo, art by Oliver Barrett, first edition!",6x1798,310,Genotype,5885967,49,0.04,Oliver Barrett
"TEENAGE MUTANT NINJA TURTLES #2/225 18x24 art print 2018 Mondo, art by Stan Sakai!",6x1833,98,Ma703983,5886002,46,0.01,Stan Sakai
"TEENAGE MUTANT NINJA TURTLES #2/225 18x24 art print 2018 Mondo, Ciro Nieli art!",6x1834,111,He706985,5886003,46,0.02,Ciro Nieli
"TEENAGE MUTANT NINJA TURTLES #2/275 18x24 art print 2018 Mondo, Dave Perillo art!",6x1837,91,Ku706257,5886006,46,0.01,Dave Perillo
"TEENAGE MUTANT NINJA TURTLES #2/200 18x24 art print 2018 Mondo, George Caltsoudas art!",6x1838,37,De702973,5886007,46,0.01,George Caltsoudas
"TEENAGE MUTANT NINJA TURTLES #2/10 artist's proof 18x24 art print 2018 Mondo, Jason Edmiston!",6x1839,135,To705202,5886008,46,0.02,Jason Edmiston
"TEENAGE MUTANT NINJA TURTLES #2/250 18x24 art print 2018 Mondo, Shane Hillman, regular ed.!",6x1840,200,magerbomb,5886009,46,0.03,Shane Hillman
"TEENAGE MUTANT NINJA TURTLES II #2/150 24x36 art print 2018 Mondo, Matt Ryan Tobin, variant!",6x1843,205,To705202,5886012,46,0.03,Matt Ryan Tobin
"TEENAGE MUTANT NINJA TURTLES III #2/125 24x36 art print 2018 Mondo, Cameron Stewart, variant!",6x1844,106,Br705962,5886013,46,0.01,Cameron Stewart
"TENDER MERCIES #2/120 18x24 art print 2011 Mondo, Alamo Drafthouse, Jason Munn!",6x1845,145,In683728,5886014,46,0.02,Jason Munn
"TENEBRE signed #2/200 18x24 art print 2018 by artist Jessica Seamans, Mondo, first edition!",6x1846,155,We703308,5886015,46,0.02,Jessica Seamans
"STAR WARS #10/325 24x36 art print 2020 Mondo, art by Martin Ansin, foil variant edition!",6x1764,700,bmachine,5885933,46,0.1,Martin Ansin
"TERMINATOR signed #107/120 16x24 art print 2013 by Jason Edmiston, Mondo, One Possible Future!",6x1847,612,Cr701093,5886016,46,0.08,Jason Edmiston
"TEENAGE MUTANT NINJA TURTLES #24/200 12x18 art print 2015 Mondo, art by Ciro Nieli, Raphael!",6x1815,61,Cu705889,5885984,46,0.01,Ciro Nieli
"TERMINATOR #2/325 24x36 art print 2013 Mondo, art by Kilian Eng!",6x1848,535,Th699305,5886017,46,0.07,Kilian Eng
"TERMINATOR 2 #15/425 24x36 art print 2014 Mondo, art by Tom Whalen, first edition!",6x1849,135,Br700043,5886018,46,0.02,Tom Whalen
"TEENAGE MUTANT NINJA TURTLES #23/300 18x24 art print 2014 Mondo, Tom Whalen, first edition!",6x1814,130,beforeigo,5885983,46,0.02,Tom Whalen
"TERROR OF GODZILLA #3/125 24x36 art print 2020 Mondo, art by Tom Whalen, variant edition!",6x1852,155,rayzelenak75,5886021,46,0.02,Tom Whalen
"TEXAS CHAINSAW MASSACRE signed #89/205 18x24 art print 2011 by Burns, Danziger, Neal, Henkel!",6x1853,225,pknaus,5886022,46,0.03,Jason Munn
"TEXAS CHAINSAW MASSACRE #2/345 24x36 art print 2011 Mondo, art by Jeff Proctor, first edition",6x1854,310,Sm703048,5886023,46,0.04,Jeff Proctor
"TEENAGE MUTANT NINJA TURTLES #160/160 12x36 art print 2009 by Rhys Cooper, Michelangelo ed.!",6x1806,175,Wo707956,5885975,46,0.02,Rhys Cooper
"TEXAS CHAINSAW MASSACRE #2/275 horizontal 24x36 art print 2018 Mondo, art by Robert Sammelin!",6x1855,690,creeper,5886024,46,0.09,Robert Sammelin
"SPONGEBOB SQUAREPANTS #96/100 24x36 art print 2016 Mondo, Graveyard Shift, variant edition!",6x1729,145,Sn705212,5885898,46,0.02,Francesco Francavilla
"SPONGEBOB SQUAREPANTS #173/175 18x24 art print 2015 Mondo, art by Tom Whalen, variant edition!",6x1725,185,Bertl3000,5885894,46,0.03,Tom Whalen
"TEXAS CHAINSAW MASSACRE #2/225 24x36 art print 2019 Mondo, art by Elvisdead, first ed.!",6x1857,98,tognazzi69,5886026,46,0.01,Elvisdead
"TEXAS CHAINSAW MASSACRE #2/125 24x36 art print 2019 Mondo, art by Elvisdead, variant!",6x1858,115,Ve706902,5886027,46,0.02,Elvisdead
"THANOS #125/125 18x24 art print 2015 Mondo, art by We Buy Your Kids, first edition!",6x1859,155,Ma701092,5886028,46,0.02,We Buy Your Kids
"THANOS 18x18 art print 2019 Mondo, art by Greg Ruth!",6x1860,105,St657311,5886029,46,0.01,Greg Ruth
"THERE WILL BE BLOOD signed #251/435 18x39 art print 2013 by Aaron Horkey, Mondo, first ed.!",6x1862,1300,Ca701613,5886031,46,0.18,Aaron Horkey
"THERE WILL BE BLOOD signed #85/200 18x39 art print 2013 by Horkey, Mondo, variant edition!",6x1863,1775,Pa706681,5886032,46,0.24,Aaron Horkey
"SPRING BREAKERS #2/225 24x36 art print 2017 Mondo, art by Cameron Stewart, first edition!",6x1732,297,Bo705443,5885901,46,0.04,Cameron Stewart
"SUSPIRIA #2/275 24x36 art print 2018 Mondo, Madame Blanc by Sara Deck, first edition!",6x1790,315,Ke700082,5885959,46,0.04,Sara Deck
"RATATOUILLE #25/185 12x24 art print 2017 Mondo, Gustafsson, Only the Fearless Can Be Great!",6x1548,600,Mo704352,5885717,46,0.08,Nicole Gustafsson
"THEY LIVE #2/125 18x24 art print 2012 Mondo, creepy mask art by We Buy Your Kids!",6x1867,320,Am702896,5886036,46,0.04,We Buy Your Kids
"THEY LIVE #2/65 18x24 art print 2013 Mondo, art by Jason Edmiston, giclee edition!",6x1868,410,creeper,5886037,46,0.06,Jason Edmiston
"THEY LIVE #2/175 18x24 art print 2019 Mondo, art of Piper and TV's by Leslie Herman!",6x1869,175,Ro701632,5886038,46,0.02,Leslie Herman
"TEENAGE MUTANT NINJA TURTLES #2/125 16x20 art print 2018 Mondo, Ciro Nieli, Concept Splinter!",6x1835,85,De702973,5886004,46,0.01,Ciro Nieli
"TEENAGE MUTANT NINJA TURTLES 23/275; 12x36 art print 2016 Mondo, Tom Whalen, Michelangelo!",6x1823,130,Kr706913,5885992,46,0.02,Tom Whalen
"TEENAGE MUTANT NINJA TURTLES #2/275 24x36 art print 2018 Mondo, Matt Ryan Tobin, regular ed.!",6x1810,395,Pe707104,5885979,46,0.05,Matt Ryan Tobin
"THIN RED LINE #25/250 24x36 art print 2016 Mondo, art by Joao Ruas, first edition!",6x1871,105,Co699315,5886040,46,0.01,Joao Ruas
"TEENAGE MUTANT NINJA TURTLES II #2/275 24x36 art print 2018 Mondo, Matt Ryan Tobin, regular!",6x1842,240,shoebie21,5886011,46,0.03,Matt Ryan Tobin
"THIN RED LINE #2/225 18x24 art print 2019 Mondo, Peter Diamond, regular edition!",6x1873,73,Mo267471,5886042,47,0.01,Peter Diamond
"THING #2/135 18x24 art print 2012 Mondo, creepy art by We Buy Your Kids, variant edition!",6x1875,200,Un703244,5886044,47,0.03,We Buy Your Kids
"THING #2/325 24x36 art print 2013 Mondo, art by Jock, regular edition!",6x1876,735,Ne706673,5886045,47,0.1,Jock
"TEXAS CHAINSAW MASSACRE #23/275 24x36 art print 2018 Mondo, art by Robert Sammelin!",6x1856,210,creeper,5886025,47,0.03,Robert Sammelin
"THING #2/175 24x36 art print 2013 Mondo, art by Jock, variant edition!",6x1877,1015,Co704230,5886046,47,0.14,Jock
"THING #2/325 24x36 art print 2013 Mondo, art by Randy Ortiz, regular edition!",6x1878,290,Pe706908,5886047,47,0.04,Randy Ortiz
"THERE WILL BE BLOOD #71/375 18x24 art print 2010 Mondo, Alamo Drafthouse, Olly Moss!",6x1861,850,St702913,5886030,47,0.12,Olly Moss
"THING #2/325 24x36 art print 2017 Mondo, art by Jason Edmiston, regular print edition!",6x1880,526,Cl702459,5886049,47,0.07,Jason Edmiston
"THING #10/275 24x36 art print 2020 Mondo, wild, detailed art by 100% Soft!",6x1882,475,Li707422,5886051,47,0.06,100% Soft (Truck Torrence)
"TEENAGE MUTANT NINJA TURTLES #2/150 18x24 art print 2018 Mondo, Shane Hillman, variant ed.!",6x1841,140,Go701660,5886010,47,0.02,Shane Hillman
"THIS ISLAND EARTH signed #2/325 24x36 art print 2014 by Ken Taylor, Mondo, Universal!",6x1885,215,Do657037,5886054,47,0.03,Ken Taylor
"THOR #77/380 24x36 art print 2011 Mondo, art by Ken Taylor, Alamo Drafthouse!",6x1886,135,Br699138,5886055,47,0.02,Ken Taylor
"SCARLET WITCH #2/125 18x24 art print 2017 Mondo, art by David Aja, Scarlet Witch #6!",6x1634,371,Do707611,5885803,47,0.05,David Aja
"THOR #2/395 24x36 art print 2012 Mondo, art by Martin Ansin, regular edition!",6x1888,115,Lo700291,5886057,47,0.02,Martin Ansin
"THOR #2/120 24x36 art print 2012 Mondo, art by Martin Ansin, variant edition!",6x1889,155,Al704590,5886058,47,0.02,Martin Ansin
"THOR RAGNAROK #2/425 24x36 art print 2017 Mondo, art by Matt Taylor, regular edition!",6x1891,489,swingkat,5886060,47,0.07,Matt Taylor
"THOR RAGNAROK #2/225 24x36 art print 2017 Mondo, art by Matt Taylor, variant edition!",6x1892,400,Cu705527,5886061,47,0.05,Matt Taylor
"THOR: THE DARK WORLD #2/400 24x36 art print 2013 Mondo, art by Ken Taylor, first edition!",6x1894,105,Zo703480,5886063,47,0.01,Ken Taylor
"TEENAGE MUTANT NINJA TURTLES #25/275 12x36 art print 2016 Mondo, art by Tom Whalen, Raphael!",6x1824,130,Kr706913,5885993,47,0.02,Tom Whalen
"TERMINATOR DARK FATE #2/150 24x36 art print 2019 Mondo, art by Matt Ryan Tobin!",6x1850,79,ko312707,5886019,47,0.01,Matt Ryan Tobin
"THOR #123/125 18x24 art print 2015 Mondo, art by Emily Tetri, Asgard!",6x1890,158,Ko704883,5886059,47,0.02,Emily Tetri
"THRASHIN' #14/75 18x24 art print 2014 Mondo, art of knife in skull by We Buy Your Kids!",6x1896,107,Gr703006,5886065,47,0.01,We Buy Your Kids
"THOR #2/250 18x24 art print 2018 Mondo, great art of Chris Hemsworth by Becky Cloonan!",6x1887,90,Fe700659,5886056,47,0.01,Becky Cloonan
"SORCERER signed #1/190 16x24 art print 2014 by director William Friedkin, Mondo, Shaw art!",6x1700,450,Ra707933,5885869,47,0.06,Jay Shaw
"TIME BANDITS #121/125 24x36 art print 2014 Mondo, art by Rich Kelly, variant edition!",6x1898,160,Be699977,5886067,47,0.02,Rich Kelly
"SUSPIRIA #3/275 24x36 art print 2018 Mondo, Susie by Sara Deck, first edition!",6x1791,295,Mi706708,5885960,47,0.04,Sara Deck
"TIMECRIMES #2/135 18x24 art print 2013 Mondo, great erotic art by We Buy Your Kids!",6x1899,81,Am702896,5886068,47,0.01,We Buy Your Kids
"THIN RED LINE #2/125 18x24 art print 2019 Mondo, art by Peter Diamond, variant edition!",6x1872,73,MI281370,5886041,47,0.01,Peter Diamond
"TOM WHALEN #276/280 24x36 art print 2011 Mondo, Tom Whalen, Super Powers, first edition!",6x1901,156,do433332,5886070,47,0.02,Tom Whalen
"STAR WARS #85/350 24x36 art print 2010 Mondo, Soto, Scrap Yard Power Droid, first edition!",6x1770,395,bobweaver,5885939,47,0.05,Jeff Soto
"TOMORROWLAND #23/175 24x36 art print 2015 Mondo, art by Kevin Tong, variant edition!",6x1905,105,Pa701782,5886074,47,0.01,Kevin Tong
"TORSO signed artist's proof 18x24 art print 2012 by artist Jay Shaw, Mondo!",6x1906,80,Be699977,5886075,47,0.01,Jay Shaw
"TOTAL RECALL #15/325 24x36 art print 2014 Mondo, art by JC Richard!",6x1907,204,Ta704821,5886076,47,0.03,JC Richard
"TEENAGE MUTANT NINJA TURTLES #86/155 24x36 art print 2011 Mondo, Proctor, regular edition!",6x1808,325,Ko704883,5885977,47,0.04,Jeff Proctor
"TIME BANDITS #199/250 24x36 art print 2014 Mondo, art by Rich Kelly, first edition!",6x1897,170,Ha702430,5886066,47,0.02,Rich Kelly
"TOWN #8/160 24x36 art print 2013 Mondo, art by Daniel Danger, variant edition!",6x1909,125,Ca708105,5886078,47,0.02,Daniel Danger
"TOY STORY #3/315 18x24 art print 2019 Mondo, cast art by Phantom City Creative!",6x1911,155,Co703930,5886080,47,0.02,Phantom City Creative
"THEY LIVE #2/165 24x36 art print 2012 Mondo, art by Krzysztof Domaradzki, first edition!",6x1866,160,Bu707460,5886035,47,0.02,Krzysztof Domaradzki
"STAR TREK: VOYAGER #2/130 24x36 art print 2011 Mondo, art by Craig Drake, solo Seven of Nine!",6x1754,170,theJoker,5885923,47,0.02,Craig Drake
"THINGS TO COME #2/230 24x36 art print 2013 Mondo, art by Laurent Durieux, first edition!",6x1883,243,Be699977,5886052,47,0.03,Laurent Durieux
"TRANSFORMERS THE MOVIE #8/125 24x36 art print 2019 Mondo, Cesar Moreno, variant edition!",6x1913,145,Co705118,5886082,48,0.02,Cesar Moreno
"THING signed #14/435 26x38 art print 2012 by Drew Struzan, Mondo, first edition!",6x1874,2600,MUHBOOTMINS,5886043,48,0.35,Drew Struzan
"TOMB RAIDER #2/225 24x36 art print 2018 Mondo, art by Francesco Francavilla!",6x1904,130,Sh701015,5886073,48,0.02,Francesco Francavilla
"TREE OF LIFE #217/225 24x36 art print 2016 Mondo, art by Tomer Hanuka, regular edition!",6x1915,160,Bo705443,5886084,48,0.02,Tomer Hanuka
"TEENAGE MUTANT NINJA TURTLES #3/200 16x24 art print 2018 Mondo, Ciro Nieli, Enter Casey Jones!",6x1836,69,Gi704457,5886005,48,0.01,Ciro Nieli
"TRANSFORMERS THE MOVIE #2/275 24x36 art print 2019 Mondo, art by Cesar Moreno, first edition!",6x1912,285,Ba706307,5886081,48,0.04,Cesar Moreno
"STAR WARS #222/275 24x36 art print 2010 Mondo, art by Tyler Stout, variant edition!",6x1761,1150,Ne705521,5885930,48,0.16,Tyler Stout
"TREE OF LIFE #25/125 24x36 art print 2016 Mondo, art by Tomer Hanuka, variant edition!",6x1916,155,pknaus,5886085,48,0.02,Tomer Hanuka
"TRIBE #25/75 18x24 art print 2015 Mondo, cast and title art by Alan Hynes!",6x1917,50,dragonsound,5886086,48,0.01,Alan Hynes
"TRANSFORMERS: DARK OF THE MOON #2/240 18x36 art print 2011 Mondo, gold variant edition!",6x1914,105,monopainter,5886083,48,0.01,Jesse Philips
"TRICK 'R TREAT #2/90 24x36 art print 2011 Mondo, art by Phantom City Creative!",6x1919,150,Silvertoes,5886088,48,0.02,Phantom City Creative
"THING #2/175 24x36 art print 2017 Mondo, art by Jason Edmiston, variant print edition!",6x1881,525,Ba701224,5886050,48,0.07,Jason Edmiston
"TRIP TO THE MOON #2/145 18x24 art print 2012 Mondo, Phantom City Creative, first edition!",6x1920,343,pmbassist,5886089,48,0.05,Phantom City Creative
"STAR WARS #788/850 24x36 art print 2010 Mondo, art by Tyler Stout, regular edition!",6x1760,1450,Th699305,5885929,48,0.2,Tyler Stout
"TRIPLE 9 #49/125 18x24 art print 2016 Mondo, great art of badge and title by Jay Shaw!",6x1921,34,Ta701006,5886090,48,0.0,Jay Shaw
"TOM WHALEN #2/325 24x36 art print 2019 Mondo, art by Tom Whalen, regular edition!",6x1903,256,Mo706225,5886072,48,0.03,Tom Whalen
"TRON #2/305 24x36 art print 2017 Mondo, art by Stan & Vince",6x1924,250,Bu702970,5886093,48,0.03,"['Stan', 'Vince']"
"TRON LEGACY #220/240 16x24 art print 2010 Mondo, art by Eric Tan!",6x1925,170,Ha703117,5886094,48,0.02,Eric Tan
"TRON LEGACY #3/390 24x36 art print 2012 Mondo, art by Martin Ansin, Mondo edition!",6x1926,185,hurlingthursday,5886095,48,0.03,Martin Ansin
"TRUE DETECTIVE #100/120 18x24 art print 2014 Mondo, art by Jay Shaw, Detective Cohle!",6x1928,94,Mackums,5886097,48,0.01,Jay Shaw
"TRUE DETECTIVE #22/120 18x24 art print 2014 Mondo, art by Jay Shaw, Detective Hart!",6x1929,63,dragonsound,5886098,48,0.01,Jay Shaw
"TRUE DETECTIVE #15/220 18x24 art print 2014 Mondo, Phantom City Creative, first edition!",6x1931,145,Pa702654,5886100,48,0.02,Phantom City Creative
"THOR RAGNAROK #2/170 24x36 art print 2020 Mondo, art by Daniel Taylor!",6x1893,140,Lo700291,5886062,48,0.02,Daniel Taylor
"TOY STORY #3/540 24x36 art print 2012 Mondo, art by Tom Whalen, first edition!",6x1910,625,Ma705410,5886079,48,0.09,Tom Whalen
"TUCKER: THE MAN & HIS DREAM #2/250 24x36 art print 2018 Mondo, Durieux, regular edition!",6x1933,63,VentureCompound,5886102,48,0.01,Laurent Durieux
"TWIN PEAKS #2/325 24x36 art print 2019 Mondo, art by Greg Ruth, regular edition!",6x1934,230,arzeff,5886103,48,0.03,Greg Ruth
"TWO-GUN MICKEY #3/370 18x24 art print 2011 Mondo, art by Tom Whalen, regular edition!",6x1936,150,Ra703157,5886105,48,0.02,Tom Whalen
"UHF #31/200 18x24 art print 2010 Mondo, art by Rich Kelly, first edition!",6x1937,175,renvhoek,5886106,48,0.02,Rich Kelly
"UNCLE BOONMEE #19/400 24x36 art print 2011 art by Chris Ware, Mondo Screenprint edition!",6x1938,550,Ar700987,5886107,48,0.08,Chris Ware
"UNCLE DREW #2/225 24x36 art print 2018 Mondo, art by Oliver Barrett, first edition!",6x1939,63,Es702778,5886108,48,0.01,Oliver Barrett
"UNDER THE SKIN #2/275 24x36 art print 2016 Mondo, art by Matthew Woodson, first edition!",6x1940,525,Galaxy2001,5886109,48,0.07,Matthew Woodson
