title,lot_number,price,high_bidder,item_number,page,percent_of_price,artist
"20,000 LEAGUES UNDER THE SEA #11/390 24x36 art print 2012 Mondo, Ken Taylor, first edition!",6x0046,650,Di706670,5884203,1,0.09,Ken Taylor
"2001: A SPACE ODYSSEY #2/300 24x36 art print 2017 Mondo, Kevin Tong, regular edition!",6x0049,350,Me704550,5884206,1,0.05,Kevin Tong
"2001: A SPACE ODYSSEY #2/175 24x36 art print 2017 Mondo, Kevin Tong, variant edition!",6x0050,410,Hi705023,5884207,1,0.06,Kevin Tong
"2001: A SPACE ODYSSEY #2/125 24x36 art print 2018 Mondo, Greg Ruth, variant edition!",6x0053,155,bogart1,5884210,1,0.02,Greg Ruth
"2nd CHANCE! - WATCHMEN #320/325 24x36 art print 2013 Mondo, art by Kevin Tong, regular edition!",6x2337,215,bclinn,5886512,59,0.03,Kevin Tong
"2nd CHANCE! - DRACULA #3/175 18x24 art print 2013 Mondo, Jason Edmiston art of Lugosi, first edition!",6x2150,186,Li707909,5886325,59,0.03,Jason Edmiston
"2nd CHANCE! - TRUE GRIT signed #101/110 16x39 art print 2010 by Aaron Horkey, Mondo, variant edition!",6x2324,365,Pa699701,5886499,59,0.05,Aaron Horkey
"2nd CHANCE! - MAD #3/175 18x24 art print 2018 Mondo, Jason Edmiston art of outrageous Alfred E. Neuman!",6x2235,215,Nu700279,5886410,59,0.03,Jason Edmiston
"2nd CHANCE! - GODZILLA #3/100 24x36 art print 2013 Mondo, art by Phantom City Creative, variant edition!",6x2175,251,De702973,5886350,59,0.03,Phantom City Creative
"2nd CHANCE! - SORCERER signed #2/190 16x24 art print 2014 by director William Friedkin, Mondo, Shaw art!",6x2298,465,Cr705213,5886473,59,0.06,Jay Shaw
"2nd CHANCE! - UP #20/275 12x36 art print 2017 Mondo, art by Mark Englert, first edition!",6x2329,550,KA007824,5886504,59,0.08,Mark Englert
"2nd CHANCE! - WISE LITTLE HEN #232/325 18x24 art print 2011 Mondo, art by Tom Whalen, regular edition!",6x2339,172,Ko701980,5886514,59,0.02,Tom Whalen
"2nd CHANCE! - WIZARD OF OZ #3/350 24x36 art print 2016 Mondo, art by JC Richard, first edition!",6x2341,284,planetclark,5886516,59,0.04,Tom Whalen
"2nd CHANCE! - PEANUTS #125/125 18x24 art print 2019 Schulz art, Mondo, Lie Here!",6x2256,215,Le707075,5886431,59,0.03,Charles M. Schulz
"2nd CHANCE! - STAR WARS #24/1445 24x36 art print 2016 Mondo, Jock, Into the Garbage Chute, Flyboy!, regular!",6x2304,410,Bu702970,5886479,59,0.06,Jock
"2nd CHANCE! - VERTIGO signed #10/375 24x36 art print 2014 by Laurent Durieux, Mondo, first edition!",6x2333,875,cu1990nc,5886508,59,0.12,Laurent Durieux
"2nd CHANCE! - THIS ISLAND EARTH #3/325 24x36 art print 2013 Mondo, art by Francesco Francavilla!",6x2319,408,Moonman,5886494,59,0.06,Francesco Francavilla
"2nd CHANCE! - SILENCE #3/375 24x36 art print 2018 Mondo, art by Jonathan Burton, first edition!",6x2294,225,Bo705443,5886469,59,0.03,Jonathan Burton
"2nd CHANCE! - THEY LIVE #3/175 18x24 art print 2019 Mondo, art of Piper and TV's by Leslie Herman!",6x2315,310,shoebie21,5886490,59,0.04,Leslie Herman
"2nd CHANCE! - PEANUTS #32/125 18x24 art print 2019 Schulz art, Mondo, Go Home!",6x2255,356,Fe702273,5886430,59,0.05,Charles M. Schulz
"2nd CHANCE! - PLANET OF THE APES #3/150 24x36 art print 2018 Mondo, art by Laurent Durieux, variant edition!",6x2261,387,theJoker,5886436,59,0.05,Laurent Durieux
"2nd CHANCE! - PEANUTS #28/125 16x24 art print 2019 Schulz art, Mondo, Whoops!",6x2259,175,Go621661,5886434,57,0.02,Charles M. Schulz
"2nd CHANCE! - PLANET OF THE APES #3/250 24x36 art print 2018 Mondo, art by Francesco Francavilla!",6x2260,290,hu372431,5886435,57,0.04,Francesco Francavilla
"2nd CHANCE! - PREDATOR #2/325 24x36 art print 2013 art by Ash Thorp, Mondo, first edition!",6x2262,190,TimeSink,5886437,57,0.03,Ash Thorp
"2nd CHANCE! - PRETTY IN PINK #3/200 24x36 art print 2019 Mondo, art by Sara Deck!",6x2263,140,bclinn,5886438,57,0.02,Sara Deck
"2nd CHANCE! - PRINCESS BRIDE #3/140 17x24 art print 2011 Mondo, art by Drew Millward!",6x2264,301,agibbons,5886439,57,0.04,Drew Millward
"2nd CHANCE! - PRINCESS MONONOKE #3/430 20x36 art print 2012 Mondo, art by Olly Moss, regular edition!",6x2265,850,Li706968,5886440,57,0.12,Olly Moss
"2nd CHANCE! - PSYCHO signed #12/325 24x36 art print 2014 by artist Laurent Durieux, Mondo, first edition!",6x2266,416,Ku700940,5886441,57,0.06,Laurent Durieux
"2nd CHANCE! - PUNISHER #21/250 18x24 art print 2018 Mondo, art by Greg Ruth!",6x2267,78,Arkurak,5886442,57,0.01,Greg Rith
"2nd CHANCE! - QUENTIN TARANTINO #15/325 9x37 art print 2012 Mondo, art by Ken Taylor, XX Collage edition!",6x2268,410,To699910,5886443,57,0.06,Ken Taylor
"2nd CHANCE! - QUIET PLACE #3/375 24x36 art print 2018 Mondo, art by Matt Ryan Tobin, regular edition!",6x2269,78,Ro704244,5886444,57,0.01,Matt Ryan Tobin
"2nd CHANCE! - QUIET PLACE #3/125 24x36 art print 2018 Mondo, art by Matt Ryan Tobin, variant edition!",6x2270,75,Gu699392,5886445,57,0.01,Matt Ryan Tobin
"2nd CHANCE! - RAISING ARIZONA #25/200 18x24 art print 2018 Mondo, Andrew Kolb art of Nicholas Cage chased!",6x2271,130,KeyserSose,5886446,57,0.02,Andrew Kolb
"2nd CHANCE! - RAISING ARIZONA #3/225 18x24 art print 2019 Mondo, Leslie Herman art of Cage robbing store!",6x2272,320,Pa707744,5886447,57,0.04,Leslie Herman
"2nd CHANCE! - REAR WINDOW #3/125 18x24 art print 2019 Mondo, Pullin art of cast, Hitchcock, variant edition!",6x2273,225,Posterface1,5886448,57,0.03,Gary Pullin
"2nd CHANCE! - RED DAWN signed #222/260 18x24 art print 2014 by artist Jay Ryan, Mondo, cast on tank!",6x2274,253,Sm704872,5886449,57,0.03,Jay Ryan
"2nd CHANCE! - RED SHOES #13/55 18x24 art print 2010 by an artist from Aesthetic Apparatus, Mondo!",6x2275,230,Ch707413,5886450,57,0.03,Aesthetic Apparatus
"2nd CHANCE! - REPO MAN #64/220 18x24 art print 2013 Mondo, Tyler Stout, GID glow-in-the-dark variant ed.!",6x2276,180,Qu706879,5886451,57,0.02,Tyler Stout
"2nd CHANCE! - RESCUERS #3/395 24x36 art print 2017 Mondo, art by Tom Whalen, regular edition!",6x2277,170,No707526,5886452,57,0.02,Tom Whalen
"2nd CHANCE! - RESERVOIR DOGS #108/280 24x36 art print 2012 Mondo, art by Tyler Stout, variant edition!",6x2278,654,wjf2007,5886453,57,0.09,Tyler Stout
"2nd CHANCE! - RETURN OF THE JEDI #83/400 24x36 art print 2010 Mondo, art by Rich Kelly, Attack Position!",6x2279,105,No703060,5886454,57,0.01,Rich Kelly
"2nd CHANCE! - RETURN OF THE JEDI #2/275 24x36 art print 2018 Mondo, I Am a Jedi, Like My Father Before!",6x2280,410,Sm702174,5886455,57,0.06,Jock
"2nd CHANCE! - REVENGE OF THE CREATURE #4/70 18x24 art print 2013 Mondo, Morning Breath, variant edition!",6x2281,112,Be699977,5886456,57,0.02,Morning Breath
"2nd CHANCE! - RISE OF THE PLANET OF THE APES signed #275/275 21x36 art print 2016 by Richard, 1st edition!",6x2282,83,Th699305,5886457,57,0.01,JC Richard
"2nd CHANCE! - ROCKETEER #3/175 24x36 art print 2017 Mondo, art by Cesar Moreno, variant edition!",6x2283,385,Gu699392,5886458,57,0.05,Cesar Moreno
"2nd CHANCE! - ROCKY III #3/295 18x24 art print 2012 Mondo, wild Jay Shaw boxer tiger art, first edition!",6x2284,411,Cotasnoova1,5886459,57,0.06,Jay Shaw
"2nd CHANCE! - ROGUE ONE #3/1775 24x36 art print 2017 Mondo, art by Martin Ansin, regular edition!",6x2285,700,Re704488,5886460,57,0.1,Martin Ansin
"2nd CHANCE! - ROPE #10/200 18x24 art print 2020 Mondo, twisted arm art by We Buy Your Kids!",6x2286,181,Ca706676,5886461,57,0.02,We Buy Your Kids
"2nd CHANCE! - ROSEMARY'S BABY #148/150 24x36 art print 2016 Mondo, art by Jonathan Burton, variant edition!",6x2287,205,OChrist,5886462,57,0.03,Jonathan Burton
"2nd CHANCE! - RUBBER #39/100 16x24 art print 2010 Mondo, art by Olly Moss, red edition!",6x2288,185,Co699888,5886463,57,0.03,Olly Moss
"2nd CHANCE! - SAMURAI JACK signed #3/125 18x24 art print 2017 Mondo, art by Methane Studios, variant edition!",6x2289,185,signboy8,5886464,57,0.03,Methane Studios
"2nd CHANCE! - SCARFACE #99/375 18x24 art print 2013 Mondo, Al Pacino by Mike Mitchell, regular edition!",6x2290,105,Ne704636,5886465,57,0.01,Mike Mitchell
"2nd CHANCE! - SHAPE OF WATER #6/200 18x36 art print 2018 Mondo, art by Daniel Danger, variant edition!",6x2291,185,Di703868,5886466,57,0.03,Daniel Danger
"2nd CHANCE! - SHAUN OF THE DEAD #115/300 24x36 art print 2013 Mondo, art by Tyler Stout, variant edition!",6x2292,410,Ma707765,5886467,57,0.06,Tyler Stout
"2nd CHANCE! - SHINING #3/175 24x36 art print 2018 Mondo, art by Laurent Durieux, variant edition!",6x2293,525,Pa699701,5886468,57,0.07,Laurent Durieux
"2nd CHANCE! - SIXTEEN CANDLES #15/100 24x36 art print 2019 Mondo, art by Sara Deck, variant edition!",6x2295,467,Sk704354,5886470,57,0.06,Sara Deck
"2nd CHANCE! - SNOW WHITE & THE SEVEN DWARFS signed #200/215 24x36 art print 2014 by Anne Benjamin, Mondo, first edition!",6x2296,105,Ro703847,5886471,57,0.01,Anne Benjamin
"2nd CHANCE! - SON OF FRANKENSTEIN #10/55 18x24 art print 2013 Mondo, Rich Kelly, Green Glow edition!",6x2297,151,RobertoItaly,5886472,57,0.02,Rich Kelly
"2nd CHANCE! - SPIRITED AWAY #3/430 20x36 art print 2013 Mondo, art by Olly Moss, regular edition!",6x2299,1000,Ne706673,5886474,57,0.14,Olly Moss
"2nd CHANCE! - STAR TREK #15/175 18x24 art print 2014 Mondo, Dart, What Are Little Girls Made Of, regular!",6x2301,69,Kl707955,5886476,57,0.01,Kevin Dart
"2nd CHANCE! - STAR TREK II #267/635 24x36 art print 2012 Mondo, art by Tyler Stout, regular edition!",6x2302,310,St707442,5886477,57,0.04,Tyler Stout
"2nd CHANCE! - CLOSE ENCOUNTERS OF THE THIRD KIND signed #259/300 24x36 art print 2011 Slater, blue edition!",6x2122,315,Gr700227,5886297,53,0.04,Todd Slater
"2nd CHANCE! - COLOSSAL #3/175 24x36 art print 2017 Mondo, art by Akiko Stehrenberger!",6x2123,105,Ma703481,5886298,53,0.01,Akiko Stehrenberger
"2nd CHANCE! - 13 ASSASSINS #11/120 17x36 art print 2012 Mondo, art by Vania Zouravliov, gold edition!",6x2056,175,Ne704636,5886231,53,0.02,Vania Zouravliov
"2nd CHANCE! - CLOCKWORK ORANGE #3/275 24x36 art print 2019 Mondo, Oliver Barrett, regular edition!",6x2120,102,monopainter,5886295,53,0.01,Oliver Barrett
"2nd CHANCE! - COLOSSAL unnumbered 12x36 art print 2017 Mondo, art by We Buy Your Kids!",6x2124,125,dragonsound,5886299,53,0.02,We Buy Your Kids
"2nd CHANCE! - CONVERSATION #2/150 24x36 art print 2018 Mondo, Laurent Durieux & Schuiten, regular edition!",6x2125,280,TheMovieGoer,5886300,53,0.04,"['Laurent Durieux', 'Francois Schuiten']"
"2nd CHANCE! - COWBOYS & ALIENS #3/170 18x24 art print 2011 Mondo, Daniel Craig w/ gun by Janee Meadows!",6x2126,47,Ba706777,5886301,53,0.01,Janee Meadows
"2nd CHANCE! - BRAVE #23/370 24x36 art print 2019 Mondo, art by Greg Ruth, first edition!",6x2101,110,No707526,5886276,53,0.02,Greg Ruth
"2nd CHANCE! - CREATURE FROM THE BLACK LAGOON #3/475 24x36 art print 2012 Mondo, Alamo, Durieux, first ed.!",6x2127,150,Be699977,5886302,53,0.02,Laurent Durieux
"2nd CHANCE! - BIG LEBOWSKI #3/225 24x36 art print 2020 Mondo, art by Marc Aspinall!",6x2091,452,St702913,5886266,53,0.06,Marc Aspinall
"2nd CHANCE! - CREATURE FROM THE BLACK LAGOON #3/430 24x36 art print 2012 Mondo, Universal, Taylor, 1st ed.!",6x2128,293,cu1990nc,5886303,53,0.04,Ken Taylor
"2nd CHANCE! - CREATURE FROM THE BLACK LAGOON #73/200 18x24 art print 2019 Mondo, art by Drew Struzan!",6x2130,155,Li707422,5886305,53,0.02,Drew Struzan
"2nd CHANCE! - DARK CRYSTAL #3/175 24x36 art print 2018 Mondo, art by Ken Taylor, variant edition!",6x2132,210,Ha708069,5886307,53,0.03,Ken Taylor
"2nd CHANCE! - BATMAN: MASK OF THE PHANTASM #3/175 24x36 art print 2017 Mondo, variant edition!",6x2085,265,ZedKing,5886260,53,0.04,Phantom City Creative
"2nd CHANCE! - DARK CRYSTAL #226/275 18x36 art print 2019 Mondo, art by Todd Slater, regular edition!",6x2133,155,De702973,5886308,53,0.02,Todd Slater
"2nd CHANCE! - BRIDE OF FRANKENSTEIN #4/175 15x36 art print 2018 Mondo, art by Ken Taylor, variant edition!",6x2107,490,Do657037,5886282,53,0.07,Ken Taylor
"2nd CHANCE! - DARK CRYSTAL #3/150 18x36 art print 2019 Mondo, art by Todd Slater, variant edition!",6x2134,150,Mo701251,5886309,53,0.02,Todd Slater
"2nd CHANCE! - DARK KNIGHT RISES #50/50 24x36 art print 2012 Jock, Batman Mondo variant AP edition!",6x2135,525,Ho702793,5886310,53,0.07,Jock
"2nd CHANCE! - BLADE RUNNER #3/125 24x36 art print 2012 Mondo, art by Craig Drake, Deckard!",6x2098,383,Gl706459,5886273,53,0.05,Craig Drake
"2nd CHANCE! - BRIDE OF FRANKENSTEIN #3/325 15x36 art print 2018 Mondo, art by Ken Taylor, regular edition!",6x2106,360,Wa705038,5886281,53,0.05,Ken Taylor
"2nd CHANCE! - DARK KNIGHT RISES #13/375 24x36 art print 2012 Mondo, Jock, Batman over city, regular edition!",6x2136,200,Ba707828,5886311,53,0.03,Jock
"2nd CHANCE! - 13 ASSASSINS #3/120 17x36 art print 2012 Mondo, art by Vania Zouravliov, white edition!",6x2057,175,TimeSink,5886232,53,0.02,Vania Zouravliov
"2nd CHANCE! - DARTH VADER signed #122/255 24x36 art print 2010 by Robert Jones, Mondo, King's Lead Hat!",6x2137,161,Ed701814,5886312,53,0.02,Robert Jones
"2nd CHANCE! - DAREDEVIL #25/250 18x24 art print 2016 Mondo, art by Matthew Woodson!",6x2131,145,TheRealMitchV,5886306,53,0.02,Matthew Woodson
"2nd CHANCE! - DARTH VADER #7/90 18x24 art print 2012 Mondo, Randy Ortiz, Lord Necronomicon, first edition!",6x2138,161,pizzaboy12,5886313,53,0.02,Randy Ortiz
"2nd CHANCE! - CREATURE FROM THE BLACK LAGOON #3/125 24x36 art print 2018 Mondo, Universal, variant ed.!",6x2129,160,He704026,5886304,53,0.02,Gary Pullin
"2nd CHANCE! - DAY THE EARTH STOOD STILL signed #2/325 12x36 art print 2014 by Laurent Durieux, regular!",6x2140,525,Fu700152,5886315,53,0.07,Laurent Durieux
"X-MEN #10/175 24x36 art print 2020 Mondo, Taylor, House of X/Powers of X, variant edition!",6x2044,165,Ho705972,5886219,53,0.02,Matt Taylor
"2nd CHANCE! - DIE HARD #192/195 24x36 art print 2013 Mondo, art by Laurent Durieux, variant edition!",6x2142,550,Co699298,5886317,53,0.08,Laurent Durieux
"2nd CHANCE! - DOCTOR STRANGE #3/350 24x36 art print 2018 Mondo, art by Johnny Dombrowski, regular edition!",6x2143,232,Ta701468,5886318,53,0.03,Johnny Dombrowski
"2nd CHANCE! - DOWN BY LAW signed #191/200 18x24 art print 2011 by artist Rich Kelley, Mondo, cast art!",6x2144,180,Ke703385,5886319,53,0.02,Rich Kelly
"2nd CHANCE! - BOTTLE ROCKET #4/225 18x24 art print 2011 Mondo, Alamo Drafthouse, Rich Kelly, first edition!",6x2099,230,Da702392,5886274,53,0.03,Rich Kelly
"2nd CHANCE! - BLACK CAULDRON #302/350 24x36 art print 2014 Mondo, fantasy art by Francesco Francavilla!",6x2095,175,Fu700152,5886270,53,0.02,Francesco Francavilla
"2nd CHANCE! - DR. STRANGELOVE signed #80/175 18x24 art print 2010 by artist Jason Munn, Mondo, Alamo!",6x2145,650,dexblack,5886320,53,0.09,Jason Munn
"2nd CHANCE! - CAPTAIN AMERICA: THE FIRST AVENGER #88/220 24x36 art print 2011 Mondo, Stout, variant ed.!",6x2114,437,kish59,5886289,53,0.06,Tyler Stout
"2nd CHANCE! - DRACULA #3/350 24x36 art print 2012 Mondo, Bela Lugosi carrying Chandler by Laurent Durieux!",6x2147,205,itcamefrom,5886322,53,0.03,Laurent Durieux
"X-MEN #10/375 24x36 art print 2020 Mondo, Taylor, House of X/Powers of X, regular edition!",6x2043,160,Gr707253,5886218,53,0.02,Matt Taylor
"2nd CHANCE! - DRACULA #3/125 24x36 art print 2019 Mondo, creepy Bela Lugosi by Sara Deck, variant edition!",6x2148,255,Po695542,5886323,53,0.03,Sara Deck
"2nd CHANCE! - DRACULA #3/225 18x24 art print 2011 Mondo, Bela Lugosi by Martin Ansin, regular edition!",6x2149,365,djmdallas72,5886324,53,0.05,Phantom City Creative
"2nd CHANCE! - EDGAR ALLAN POE #3/225 24x36 art print 2011 Mondo, art by Tomer Hanuka, The Raven!",6x2155,105,Be699977,5886330,53,0.01,Tomer Hanuka
"2nd CHANCE! - BACK TO THE FUTURE #3/375 24x36 art print 2017 Mondo, George Bletsis, regular edition!",6x2080,295,ericmcfly,5886255,52,0.04,DKNG
"2nd CHANCE! - ASSAULT ON PRECINCT 13 #342/450 24x36 art print 2011 Mondo, Tyler Stout, regular edition!",6x2075,167,Wa686720,5886250,52,0.02,Tyler Stout
"VENOM #2/300 24x36 art print 2018 Mondo, Matt Ryan Tobin art, regular edition!",6x1953,216,RichibuctoRiver,5886122,52,0.03,Matt Ryan Tobin
"2nd CHANCE! - BACK TO THE FUTURE #21/325 18x24 art print 2017 Mondo, George Bletsis, regular edition!",6x2081,265,Je703090,5886256,52,0.04,George Bletsis
"2nd CHANCE! - BAMBI #5/225 24x36 art print 2017 Mondo, Laurent Durieux, variant edition!",6x2082,315,Fi270016,5886257,52,0.04,Laurent Durieux
"2nd CHANCE! - BATMAN 20x36 art print 2019 Mondo, art by Darwyn Cooke, Bayman 37, New 52!",6x2083,200,Mc707114,5886258,52,0.03,Darwyn Cooke
"2nd CHANCE! - BATMAN #25/250 18x24 art print 2019 Mondo, Bob Kane art, Detective Comics 27!",6x2084,130,Ne704636,5886259,52,0.02,Bob Kane
"WITCHER #10/175 18x24 art print 2020 Mondo, art by Becky Cloonan, regular edition!",6x2013,160,Ma706821,5886188,52,0.02,Becky Cloonan
"2nd CHANCE! - BATMAN: THE ANIMATED SERIES #3/150 18x24 print 2018 Harley & Ivy, variant ed.",6x2086,350,Ro706698,5886261,52,0.05,Phantom City Creative
"2nd CHANCE! - AMERICAN WEREWOLF IN LONDON signed #182/380 14x24 art print 2011 by Olly Moss, Mondo, regular!",6x2072,393,Vr699308,5886247,52,0.05,Olly Moss
"2nd CHANCE! - BATMAN: THE ANIMATED SERIES #75/150 18x24 art print 2020 Mondo, Dreams in Darkness, variant!",6x2087,125,Ne704636,5886262,52,0.02,Phantom City Creative
"WALL-E #23/390 24x36 art print 2016 Mondo, art by Tom Whalen, first edition!",6x1970,325,Gl701760,5886139,52,0.04,Tom Whalen
"2nd CHANCE! - BATMOBILE #25/300 24x36 art print 2016 Mondo, art by Tom Whalen!",6x2088,262,Mc705535,5886263,52,0.04,Tom Whalen
"2nd CHANCE! - BEETLEJUICE signed #148/195 18x24 art print 2010 by artist Rich Kelley, Mondo, wild!",6x2089,151,Br705962,5886264,52,0.02,Rich Kelly
"2nd CHANCE! - BEFORE SUNSET #20/150 18x24 art print 2016 Mondo, great art of couple & sun by Jason Munn!",6x2090,205,St704334,5886265,52,0.03,Jason Munn
"2nd CHANCE! - BILL HICKS #4/200 18x24 art print 2011 Mondo, great close-up art of him by Ken Taylor!",6x2092,215,Sm701132,5886267,52,0.03,Ken Taylor
"2nd CHANCE! - AVENGERS #145/350 24x36 art print 2012 Mondo, Stout, Marvel's Avengers Series, variant ed.!",6x2079,645,KA007824,5886254,52,0.09,Tyler Stout
"2nd CHANCE! - BLACK BEETLE #3/225 24x36 art print 2013 Mondo, art by Francesco Francavilla",6x2094,68,ZedKing,5886269,52,0.01,Francesco Francavilla
"2nd CHANCE! - BLACK PANTHER #3/200 24x36 art print 2019 Mondo, Martin Ansin, variant edition!",6x2096,162,Ve700086,5886271,52,0.02,Martin Ansin
"2nd CHANCE! - AVENGERS #4/320 24x36 art print 2012 Mondo, Olly Moss, Marvel's Avengers Series, 1st edition!",6x2078,415,KA007824,5886253,52,0.06,Olly Moss
"2nd CHANCE! - BLACK STALLION #23/210 2-sided 18x24 art print 2015 Mondo, horse art by Nicholas Delort!",6x2097,78,Be706541,5886272,52,0.01,Nicholas Delort
"2nd CHANCE! - AKIRA signed #35/80 24x36 art print 2011 by Tyler Stout, Mondo, Alamo, variant edition!",6x2067,1502,KA007824,5886242,52,0.21,Tyler Stout
